dataset,model,bucket,mean,std,count
NPInter2,GraphSage,1,0.8736886641175139,0.04260143275506481,3
NPInter2,GraphSage,10-99,0.8814850387348447,0.035512688656890404,3
NPInter2,GraphSage,100+,0.5536971437165232,0.01699293553014877,3
NPInter2,GraphSage,2-9,0.9525542893906053,0.015606041164704425,3
NPInter2,PairMLP-Cross,1,0.9097874447921487,0.005200070350110775,3
NPInter2,PairMLP-Cross,10-99,0.8788991686161151,0.016159470232956698,3
NPInter2,PairMLP-Cross,100+,0.5975520245154433,0.028291669699581468,3
NPInter2,PairMLP-Cross,2-9,0.9510990754533951,0.006904713112323806,3
NPInter2,ProtoContrast,1,0.6803200171569035,0.14959056495563905,3
NPInter2,ProtoContrast,10-99,0.7583748718842394,0.11018470132017871,3
NPInter2,ProtoContrast,100+,0.4963937652702068,0.04572013176092605,3
NPInter2,ProtoContrast,2-9,0.7738197877597899,0.10365515546070413,3
RPI7317,GraphSage,1,0.8343513204849691,0.07225677222809003,3
RPI7317,GraphSage,10-99,0.7301750295103018,0.03200183168352155,3
RPI7317,GraphSage,100+,0.7140818534472838,0.019663414280596224,3
RPI7317,GraphSage,2-9,0.8754994854907244,0.07226048403380471,3
RPI7317,PairMLP-Cross,1,0.7747561565907256,0.025913675473314215,3
RPI7317,PairMLP-Cross,10-99,0.6158195565326224,0.012766428524809637,3
RPI7317,PairMLP-Cross,100+,0.5997192747703335,0.01180236988802394,3
RPI7317,PairMLP-Cross,2-9,0.8533540971022981,0.03293354875291247,3
RPI7317,ProtoContrast,1,0.6294781374041923,0.030855905961888665,3
RPI7317,ProtoContrast,10-99,0.6023013374870501,0.08466889685466308,3
RPI7317,ProtoContrast,100+,0.5676362719484666,0.025133902743260148,3
RPI7317,ProtoContrast,2-9,0.5955121475291448,0.12077577630975615,3
