dataset,model,rna_bucket,mean,std,count
NPInter2,GraphSage,low (1-2),0.8952806614450043,0.02296028652022066,3
NPInter2,GraphSage,orphan (deg 0),0.7718247643103661,0.12788797942207553,3
NPInter2,GraphSage,warm (3+),0.817658733213425,0.018298520312699962,3
NPInter2,PairMLP-Cross,low (1-2),0.9295481983399938,0.006313988464309898,3
NPInter2,PairMLP-Cross,orphan (deg 0),0.885125663229263,0.05124286446095682,3
NPInter2,PairMLP-Cross,warm (3+),0.8911103269833912,0.008136005666914175,3
NPInter2,ProtoContrast,low (1-2),0.5809145490965627,0.1165963154732347,3
NPInter2,ProtoContrast,orphan (deg 0),0.47793252918865486,0.04220748310824389,3
NPInter2,ProtoContrast,warm (3+),0.6038748674731615,0.04549051845453124,3
RPI7317,GraphSage,low (1-2),0.7757143767787515,0.12101424532298556,3
RPI7317,GraphSage,orphan (deg 0),0.755646713417028,0.13910726849221025,3
RPI7317,GraphSage,warm (3+),0.7495693925394423,0.048272593905265976,3
RPI7317,PairMLP-Cross,low (1-2),0.7401215152237078,0.07619500161323184,3
RPI7317,PairMLP-Cross,orphan (deg 0),0.7456733995654119,0.013634230381611497,3
RPI7317,PairMLP-Cross,warm (3+),0.7292181337930441,0.057254798630491884,3
RPI7317,ProtoContrast,low (1-2),0.6571539967955674,0.18897842517803595,3
RPI7317,ProtoContrast,orphan (deg 0),0.5544928494375603,0.15081593756711623,3
RPI7317,ProtoContrast,warm (3+),0.5884481254886486,0.13973496258944937,3
